CoCode,Company Names,[Year & Month](All),[Month](All),[Year](All),[High](All),[Low](All),[Close](All),[High PE](All),[Low PE](All),[Close PE](All),[Market Cap](All),[Volume](All),[No of Trades](All),[Net Turnover-Rs Thousands](All)
31,Ashok Leyland,200505,5,2005,12.4,11.23,12.05,12.17,10.59,11.45,2866.21,53389944,100915,1260060.601
31,Ashok Leyland,200506,6,2005,13.63,11.7,11.78,13.59,11.04,11.18,2800.8,73561241,125514,1824218.626
31,Ashok Leyland,200507,7,2005,14.98,11.78,14.73,14.47,10.73,13.99,3502.49,141649983,234993,3814357.957
31,Ashok Leyland,200508,8,2005,15.85,12.85,14.38,15.6,11.9,13.65,3419.24,136768308,264735,3959179.656
31,Ashok Leyland,200509,9,2005,15.43,13.25,14.2,15.12,12.26,13.49,3377.61,92489297,192857,2685939.198
31,Ashok Leyland,200510,10,2005,14.88,12.6,13.75,14.2,11.05,13.06,3270.58,72180344,182423,2022240.076
31,Ashok Leyland,200511,11,2005,17.5,13.63,15.63,18.44,12.59,14.84,3716.56,149404923,382586,4620668.433
31,Ashok Leyland,200512,12,2005,16.9,14.95,15.93,16.49,14.08,15.13,3787.92,139320657,354770,4472920.139
31,Ashok Leyland,200601,1,2006,16.53,14.75,15.33,16.11,13.75,14.56,3645.2,81781730,165749,2547072.156
31,Ashok Leyland,200602,2,2006,20,15.3,19.23,19.81,13.85,18.43,4616.31,222128907,469876,8031211.046
31,Ashok Leyland,200603,3,2006,21.38,18.9,20.15,17.07,14.83,16.28,4923.05,145826214,312309,5913679.785
31,Ashok Leyland,200604,4,2006,26.28,20,26.08,21.59,15.78,21.26,6430.1,178024963,395626,8012242.857
31,Ashok Leyland,200605,5,2006,26.5,14.55,19.53,22.59,9.18,15.96,4826.58,201229848,499029,8928399.212
31,Ashok Leyland,200606,6,2006,20.2,15.25,18.7,17.64,12.08,16.2,4899.03,98089186,365448,3514245.943
31,Ashok Leyland,200607,7,2006,19.45,15.05,17.5,17.36,12.54,15.16,4584.65,105627114,359433,3617071.723
31,Ashok Leyland,200608,8,2006,20.3,17.25,19.8,17.98,14.32,17.15,5187.2,97305320,301027,3720162.055
31,Ashok Leyland,200609,9,2006,22.95,19.7,22.53,20.25,16.2,19.51,5901.1,104046534,380208,4484233.461
31,Ashok Leyland,200610,10,2006,25.55,21.7,22,22.62,18.69,19.21,5810.64,124459393,431324,5885257.191
31,Ashok Leyland,200611,11,2006,23.63,17.5,21.23,21.03,12.7,18.57,5615.71,111525801,413113,4947473.733
31,Ashok Leyland,200612,12,2006,23.2,17.88,22.78,20.68,13.09,19.93,6027.63,101090350,323687,4367777.991
31,Ashok Leyland,200701,1,2007,24.38,21.55,24.2,21.49,18.39,21.18,6406.71,81352130,227196,3780783.724
31,Ashok Leyland,200702,2,2007,25.35,19.3,19.9,22.86,16.38,17.42,5268.33,84825139,259637,3824401.184
